timestamp,open,high,low,close,volume
2025-11-13 05:15:00,3466.3,3485.6,3466.29,3485.27,5874.1863
2025-11-13 05:30:00,3485.28,3510.78,3483.35,3510.77,8154.4545
2025-11-13 05:45:00,3510.77,3540.0,3508.4,3529.19,11283.9429
2025-11-13 06:00:00,3529.18,3538.72,3520.94,3532.09,10319.3177
2025-11-13 06:15:00,3532.08,3547.77,3528.46,3537.45,9054.5049
2025-11-13 06:30:00,3537.46,3547.84,3536.37,3541.36,6066.9634
2025-11-13 06:45:00,3541.37,3553.49,3540.01,3541.01,6246.0645
2025-11-13 07:00:00,3541.02,3549.96,3534.02,3547.25,7737.8576
2025-11-13 07:15:00,3547.24,3556.57,3542.01,3550.25,4552.4831
2025-11-13 07:30:00,3550.26,3565.84,3535.7,3542.5,10197.9097
2025-11-13 07:45:00,3542.5,3542.7,3531.69,3538.74,7420.7171
2025-11-13 08:00:00,3538.74,3550.0,3533.09,3537.72,3951.8788
2025-11-13 08:15:00,3537.71,3548.6,3537.71,3543.16,2721.4988
2025-11-13 08:30:00,3543.16,3546.36,3540.41,3546.35,2127.5642
2025-11-13 08:45:00,3546.35,3546.36,3521.1,3524.07,6451.287
2025-11-13 09:00:00,3524.08,3529.68,3490.38,3503.68,11723.9613
2025-11-13 09:15:00,3503.68,3518.0,3495.88,3504.44,5557.4834
2025-11-13 09:30:00,3504.44,3515.03,3493.51,3497.78,6475.5543
2025-11-13 09:45:00,3497.77,3498.95,3476.06,3486.43,7474.5104
2025-11-13 10:00:00,3486.43,3504.13,3486.43,3496.51,4286.8336
2025-11-13 10:15:00,3496.51,3516.59,3494.25,3508.09,5573.6748
2025-11-13 10:30:00,3508.09,3509.87,3495.0,3505.6,4226.7835
2025-11-13 10:45:00,3505.6,3506.42,3499.34,3506.01,2311.2478
2025-11-13 11:00:00,3506.02,3518.26,3504.61,3511.73,4043.9016
2025-11-13 11:15:00,3511.73,3514.4,3499.37,3502.88,3967.9492
2025-11-13 11:30:00,3502.88,3509.62,3495.41,3508.49,3483.8951
2025-11-13 11:45:00,3508.49,3511.09,3501.06,3501.95,3768.7533
2025-11-13 12:00:00,3501.94,3506.26,3481.42,3484.11,8878.9464
2025-11-13 12:15:00,3484.12,3493.7,3483.4,3487.18,5248.05
2025-11-13 12:30:00,3487.19,3507.11,3487.18,3503.49,6557.1365
2025-11-13 12:45:00,3503.48,3511.31,3499.23,3501.15,4905.466
2025-11-13 13:00:00,3501.14,3501.99,3491.0,3491.01,5081.3357
2025-11-13 13:15:00,3491.01,3493.81,3457.58,3468.49,15011.6617
2025-11-13 13:30:00,3468.49,3472.12,3428.42,3439.44,16140.664
2025-11-13 13:45:00,3439.44,3449.25,3426.43,3438.18,8843.6696
2025-11-13 14:00:00,3438.18,3443.96,3421.65,3425.57,9402.1704
2025-11-13 14:15:00,3425.57,3436.91,3417.85,3430.4,6324.843
2025-11-13 14:30:00,3430.39,3435.38,3393.55,3407.89,20320.4756
2025-11-13 14:45:00,3407.89,3478.54,3403.54,3443.62,24448.928
2025-11-13 15:00:00,3443.63,3443.78,3405.8,3442.64,15086.9297
2025-11-13 15:15:00,3442.64,3447.75,3399.55,3409.99,13262.3062
2025-11-13 15:30:00,3409.99,3411.39,3383.89,3391.85,12732.9748
2025-11-13 15:45:00,3391.86,3393.0,3367.03,3386.85,15286.2804
2025-11-13 16:00:00,3386.84,3398.24,3374.35,3390.2,7374.3668
2025-11-13 16:15:00,3390.19,3392.99,3355.16,3367.99,15206.512
2025-11-13 16:30:00,3368.0,3389.15,3338.65,3352.5,37758.1318
2025-11-13 16:45:00,3352.49,3356.08,3323.58,3327.59,27555.2583
2025-11-13 17:00:00,3327.58,3328.98,3293.59,3295.28,44904.1272
2025-11-13 17:15:00,3295.27,3314.22,3287.05,3308.74,32467.1905
2025-11-13 17:30:00,3308.73,3320.48,3268.67,3278.67,18481.2066
2025-11-13 17:45:00,3278.66,3287.59,3253.02,3255.5,12897.6105
2025-11-13 18:00:00,3255.49,3264.59,3230.15,3235.63,16134.2032
2025-11-13 18:15:00,3235.63,3252.32,3223.51,3239.72,15794.7534
2025-11-13 18:30:00,3239.73,3241.55,3201.2,3225.6,15228.1516
2025-11-13 18:45:00,3225.63,3228.23,3184.08,3213.72,20250.5619
2025-11-13 19:00:00,3213.73,3227.12,3199.46,3210.34,9990.1128
2025-11-13 19:15:00,3210.35,3239.55,3191.58,3232.4,16324.1865
2025-11-13 19:30:00,3232.39,3234.61,3193.39,3212.2,10570.2155
2025-11-13 19:45:00,3212.21,3214.09,3175.83,3197.69,11866.4547
2025-11-13 20:00:00,3197.69,3197.69,3162.24,3178.8,14586.0093
2025-11-13 20:15:00,3178.79,3183.27,3154.22,3175.43,13266.2824
2025-11-13 20:30:00,3175.42,3206.37,3169.53,3183.56,13617.4198
2025-11-13 20:45:00,3183.56,3185.9,3162.54,3171.65,12109.2284
2025-11-13 21:00:00,3171.65,3193.78,3169.4,3191.34,5670.548
2025-11-13 21:15:00,3191.34,3191.5,3159.97,3168.34,9903.6426
2025-11-13 21:30:00,3168.35,3186.57,3166.53,3186.01,4368.3847
2025-11-13 21:45:00,3186.02,3186.05,3172.76,3179.74,4453.2672
2025-11-13 22:00:00,3179.73,3213.44,3175.0,3206.18,7811.5388
2025-11-13 22:15:00,3206.19,3219.4,3194.01,3216.32,7477.5948
2025-11-13 22:30:00,3216.31,3234.78,3205.0,3227.09,9260.8627
2025-11-13 22:45:00,3227.09,3236.7,3219.67,3228.87,5728.5252
2025-11-13 23:00:00,3228.87,3242.09,3216.52,3239.06,6435.0696
2025-11-13 23:15:00,3239.06,3257.93,3238.29,3254.05,10698.6644
2025-11-13 23:30:00,3254.05,3272.3,3251.16,3267.02,6083.2448
2025-11-13 23:45:00,3267.01,3267.01,3228.25,3231.54,8729.73
